AI 智能单词陪练 - 大学英语四级核心词汇
单词,常见含义,词性,考研高频考法,巧记方法（仅供参考）
abandon,放弃;抛弃,v,abandon oneself to沉溺于,a(一个)+band(乐队)+on(在)→一个乐队在台上被抛弃
ability,能力;才能,n,have the ability to do有能力做,able(能够的)+ity(名词后缀)
abroad,在国外;到国外,adv,go abroad出国,a+broad(宽广的)→到宽广的地方去
absence,缺席;不在,n,in the absence of在...缺席时,absent(缺席的)+ce(名词后缀)
absolute,绝对的;完全的,adj,absolute power绝对权力,ab(离开)+solute(松开)→完全松开束缚的
absorb,吸收;吸引,v,be absorbed in专心于,ab(加强)+sorb(吸收)
abstract,抽象的;摘要,adj/n,abstract art抽象艺术,abs(离开)+tract(拉)→拉开具体的东西
academic,学术的;学院的,adj,academic year学年,academ(学院)+ic(形容词后缀)
accelerate,加速;促进,v,accelerate the process加速进程,ac(加强)+celer(快)+ate(动词后缀)
accept,接受;承认,v,accept the invitation接受邀请,ac(向)+cept(拿)→向自己拿来
