南瓜子|红宝书必考词U14带背笔记,,,,,
单词,词性,常见含义,考研高频考法,自测例句,巧记方法（仅供参考）
glamour,n./v.,魅力；吸引力；迷惑,常与时尚、名人话题相关，如the glamour of Hollywood（好莱坞的魅力）；也可指事物的吸引力，如the glamour of literature（文学的魅力）,She was drawn to the glamour of the city.,谐音格莱美——格莱美颁奖礼充满星光魅力，所以glamour就是魅力、诱惑力
generate,v.,产生；引起,多与能源、数据、情感等搭配，如generate electricity（发电）；generate interest（引起兴趣）；在科技类文章中常见，如generate new ideas（产生新想法）,The machine generates electricity.,拆成gene（基因）+rate（产生）——基因不断产生新细胞，联想generate是产生、生成
generation,n.,一代人；产生,常涉及社会、家庭话题，如the younger generation（年轻一代）；generation gap（代沟）；也可指产生，如the generation of heat（热量的产生），多见于理科类文本,The new generation values innovation.,generate（产生）+tion——一代人是产生的新群体，所以是一代、一代人
generator,n.,发电机；产生者,多与能源、科技话题相关，如electric generator（发电机）；signal generator（信号发生器），在工科类文章中出现频率较高,This generator runs on gas.,generate（发电）+or（表物）——能发电的东西，就是发电机、发生器
generous,adj.,慷慨的；宽宏大量的,常与人物性格、行为相关，如be generous with money（在金钱上大方）；也可指数量上充足的，如a generous amount of time（充足的时间），多见于记叙文或社会类文本,He’s generous with his time.,gene（基因）+rous（想象成肉丝）—— 基因里就带着分享肉丝的大方劲儿，所以generous就是慷慨的、大方的
genius,n.,天才；天赋,常与艺术、科学领域人物相关，如a mathematical genius（数学天才）；也可指天赋，如have a genius for music（有音乐天赋），在人物传记类文章中常见,She has a genius for math.,谐音吉尼斯——吉尼斯纪录里的人多是天才，所以genius是天才、天赋
gift,n.,礼物；天赋,可指礼物，如exchange gifts（交换礼物）；更常考天赋，如have a gift for language（有语言天赋），与genius近义，需注意语境区分,She was gifted with charm.,发音像给福—— 给别人福气的东西就是礼物，天生带来的福气就是天赋
genre,n.,类型；流派,多与文学、艺术、影视话题相关，如literary genre（文学体裁）；music genre（音乐类型），在文化类文章中频繁出现,This genre includes science fiction.,把gen想成根，re是再—— 同一根再衍生出的不同分支，就是艺术或文学的类型、体裁
giant,n./adj.,巨人；巨大的,可指巨人（如神话中的巨人）或伟人（如a giant in science（科学界的伟人））；作形容词时，常修饰规模、企业等，如giant companies（大公司）,He’s a giant in his field.,联想巨人（jù rén）发音近——巨人就是giant，也指庞大的
gigantic,adj.,庞大的,强调尺寸或规模极大，常与建筑、工程、数量等搭配，如a gigantic building（巨大的建筑）；gigantic amounts of money（巨额资金），在描述事物规模的文本中常见,The waves were gigantic.,giant（巨人）+ic——比巨人还大，就是巨大的、庞大的
give,v.,给予,搭配丰富，如give up（放弃）；give in（屈服）；give rise to（引起）；在句式中常考give sth. to sb. 或give sb. sth.，是基础且高频的动词,He gave me a book.,简单词，联想给（gěi）——give就是给、给予，搭配give up（放弃）很好记
happen,v.,发生,常考happen to do sth.（碰巧做某事）；也可指事件的发生，如what happened next（接下来发生了什么），在记叙文、新闻类文本中基础且必现,It happened last night.,hap（运气）+pen（笔）——运气掉在笔上，发生了巧合，所以happen是发生、碰巧
harm,n./v.,伤害；损害,常与健康、环境相关，如do harm to（对……有害）；harm the environment（损害环境）；也可指抽象的危害，如harm one's reputation（损害名声）,Smoking can harm your health.,谐音害母——伤害母亲就是伤害，所以harm是伤害、损害
harmony,n.,和谐；协调,常与社会、自然、人际关系话题相关，如live in harmony（和谐相处）；harmony between man and nature（人与自然的和谐），在哲学、社会类文章中常见,We need harmony between nations.,谐音哈莫你—— 哈（笑声）和莫（安静）和谐共存，你（ny）也融入其中，就是和谐、融洽
harsh,adj.,严厉的；刺耳的；艰苦的,可形容态度（harsh criticism（严厉的批评））、环境（harsh climate（恶劣的气候））、声音（harsh noise（刺耳的噪音）），在描述负面场景的文本中多见,He faced harsh conditions.,联想hash（哈希，粗糙的）——粗糙的批评很严厉，所以harsh是严厉的、恶劣的
ignorance,n.,无知；愚昧,常与对……的无知搭配，如ignorance of the law（对法律的无知）；也可指不知情，如plead ignorance（声称不知情），在议论类文章中常见,His ignorance surprised me.,ignore（忽视）+ance——忽视带来的就是无知、愚昧
ignorant,adj.,无知的,常与of搭配，如be ignorant of（对……无知）；可描述人或行为，如ignorant remarks（无知的言论），在批评或议论类文本中出现,They were ignorant of the facts.,ignore（忽视）+ant——总忽视别人的人是无知的、不知情的
